['int', [0, 0]]
['identifier', [364, 1]]
[';', [0, 0]]
['int', [0, 0]]
['identifier', [4, 1]]
[';', [0, 0]]
['int', [0, 0]]
['identifier', [135, 1]]
[';', [0, 0]]
['read', [0, 0]]
['(', [0, 0]]
['identifier', [364, 1]]
[')', [0, 0]]
[';', [0, 0]]
['identifier', [135, 1]]
['=', [0, 0]]
['constant', [582, 1]]
[';', [0, 0]]
['identifier', [4, 1]]
['=', [0, 0]]
['constant', [895, 1]]
[';', [0, 0]]
['while', [0, 0]]
['(', [0, 0]]
['identifier', [4, 1]]
['*', [0, 0]]
['identifier', [4, 1]]
['<=', [0, 0]]
['identifier', [364, 1]]
[')', [0, 0]]
['{', [0, 0]]
['if', [0, 0]]
['(', [0, 0]]
['identifier', [364, 1]]
['%', [0, 0]]
['identifier', [4, 1]]
['==', [0, 0]]
['constant', [865, 1]]
[')', [0, 0]]
['{', [0, 0]]
['identifier', [135, 1]]
['=', [0, 0]]
['constant', [865, 1]]
[';', [0, 0]]
['}', [0, 0]]
['identifier', [4, 1]]
['=', [0, 0]]
['identifier', [4, 1]]
['+', [0, 0]]
['constant', [582, 1]]
[';', [0, 0]]
['}', [0, 0]]
['if', [0, 0]]
['(', [0, 0]]
['identifier', [135, 1]]
['==', [0, 0]]
['constant', [582, 1]]
[')', [0, 0]]
['{', [0, 0]]
['print', [0, 0]]
['(', [0, 0]]
['constant', [292, 1]]
[')', [0, 0]]
[';', [0, 0]]
['}', [0, 0]]
['else', [0, 0]]
['{', [0, 0]]
['print', [0, 0]]
['(', [0, 0]]
['constant', [361, 1]]
[')', [0, 0]]
[';', [0, 0]]
['}', [0, 0]]
